,"Cote, Adam Roland","Dion, Donna J.","Dion, Mark N.","Eves, Mark W.","Mills, Janet T.","Russell, Diane Marie","Sweet, Elizabeth A.",Write-in,sample_size,seed,time_delta
0,0.462,0.0,0.0,0.132,0.39799999999999996,0.0,0.008,0.0,100,1,0.00012898445129394529
1,0.7929999999999999,0.0,0.0,0.002,0.184,0.0,0.021,0.0,200,1,0.0002300739288330078
2,0.7829999999999999,0.0,0.0,0.0,0.205,0.0,0.012,0.0,300,1,0.0003147125244140625
3,0.506,0.0,0.0,0.0,0.494,0.0,0.0,0.0,400,1,0.000386953353881836
4,0.518,0.0,0.0,0.0,0.48100000000000004,0.0,0.001,0.0,500,1,0.00043392181396484375
5,0.57,0.0,0.0,0.0,0.42700000000000005,0.0,0.003,0.0,600,1,0.0005202293395996094
6,0.41,0.0,0.0,0.0,0.589,0.0,0.001,0.0,700,1,0.0006008148193359375
7,0.289,0.0,0.0,0.0,0.711,0.0,0.0,0.0,800,1,0.0006630420684814452
8,0.115,0.0,0.0,0.0,0.885,0.0,0.0,0.0,900,1,0.0007321834564208983
9,0.043,0.0,0.0,0.0,0.9570000000000001,0.0,0.0,0.0,1000,1,0.0007948875427246094
10,0.015,0.0,0.0,0.0,0.985,0.0,0.0,0.0,1100,1,0.0008759498596191406
11,0.017,0.0,0.0,0.0,0.983,0.0,0.0,0.0,1200,1,0.0009362697601318359
12,0.006999999999999999,0.0,0.0,0.0,0.993,0.0,0.0,0.0,1300,1,0.0010101795196533203
13,0.055999999999999994,0.0,0.0,0.0,0.9440000000000001,0.0,0.0,0.0,1400,1,0.0013580322265625
14,0.033,0.0,0.0,0.0,0.9670000000000001,0.0,0.0,0.0,1500,1,0.001255035400390625
15,0.048,0.0,0.0,0.0,0.9520000000000001,0.0,0.0,0.0,1600,1,0.0013310909271240234
16,0.052000000000000005,0.0,0.0,0.0,0.948,0.0,0.0,0.0,1700,1,0.0013430118560791016
17,0.145,0.0,0.0,0.0,0.855,0.0,0.0,0.0,1800,1,0.0017070770263671875
18,0.057999999999999996,0.0,0.0,0.0,0.9420000000000001,0.0,0.0,0.0,1900,1,0.001445770263671875
19,0.038,0.0,0.0,0.0,0.9620000000000001,0.0,0.0,0.0,2000,1,0.0016307830810546875
20,0.012,0.0,0.0,0.0,0.988,0.0,0.0,0.0,2100,1,0.0016617774963378904
21,0.019,0.0,0.0,0.0,0.981,0.0,0.0,0.0,2200,1,0.0016188621520996096
22,0.019,0.0,0.0,0.0,0.981,0.0,0.0,0.0,2300,1,0.001878976821899414
23,0.013000000000000001,0.0,0.0,0.0,0.987,0.0,0.0,0.0,2400,1,0.0017940998077392578
24,0.012,0.0,0.0,0.0,0.988,0.0,0.0,0.0,2500,1,0.0018439292907714844
25,0.005,0.0,0.0,0.0,0.995,0.0,0.0,0.0,2600,1,0.002022027969360352
26,0.001,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,2700,1,0.001971006393432617
27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2800,1,0.0021648406982421875
28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2900,1,0.002162933349609375
29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3000,1,0.002102851867675781
30,0.004,0.0,0.0,0.0,0.996,0.0,0.0,0.0,100,2,0.000171661376953125
31,0.013999999999999999,0.0,0.0,0.0,0.986,0.0,0.0,0.0,200,2,0.0002167224884033203
32,0.096,0.0,0.0,0.001,0.892,0.0,0.011000000000000001,0.0,300,2,0.00032782554626464844
33,0.19699999999999998,0.0,0.0,0.0,0.8009999999999999,0.0,0.002,0.0,400,2,0.0003581047058105469
34,0.142,0.0,0.0,0.0,0.858,0.0,0.0,0.0,500,2,0.0004329681396484375
35,0.24100000000000002,0.0,0.0,0.0,0.758,0.0,0.001,0.0,600,2,0.0005240440368652344
